Type,Container Name,Project (Github Link),Flaky commit SHA,Fixed commit SHA,Module ,Flaky test name,Polluter/State-setter (For OD test only),Zip name
TD,CURATOR-681,https://github.com/apache/apache/curator,d14cb464cbd4e8e0e1bb51daba76e84eb2e346db,260afcdadbadde87ce7a8c2a904afdc3c1013884,curator-recipes,org.apache.curator.framework.recipes.locks.TestInterProcessMutex.testReentrantSingleLock,,CURATOR-681
TD,CURATOR-671,https://github.com/apache/apache/curator,a469dfb229c0d42c07048d95d070703331e2c429,328f985304b07cec046e4b9e4244a9c962fc91f5,curator-recipes,org.apache.curator.framework.recipes.leader.TestLeaderSelectorCluster.testLostRestart,,CURATOR-671
TD,APEXCORE-403,https://github.com/apache/apache/apex-core,48709d995f959cb15c8dc7e6d13be00c826b1b36,a784bf622442ead69b9fc1b7fd61e48e5b28ac47,engine,com.datatorrent.stram.plan.logical.DelayOperatorTest.testFibonacciRecovery1,,APEXCORE-403
TD,COLLECTIONS-812,https://github.com/apache/commons-collections,bc326f8ef5b0d424f4e527e1a05d7cd36d147ef6,1677daceab74895fdf5056c9a48aa94f9e709fb9,.,org.apache.commons.collections4.properties.EmptyPropertiesTest.testSave,,COLLECTIONS-812
ID,COLLECTIONS-836,https://github.com/apache/commons-collections,9582007123799dab2f1ddb38aa8654c26867da3f,14d7d98e7e3c993ac2e0f8b32ccc3789eb7ecc14,.,org.apache.commons.collections4.bidimap.DualHashBidiMapTest.testBidiKeySetValuesOrder,,COLLECTIONS-836
TD,YARN-9768,https://github.com/apache/hadoop,10461e01932bcd82a9d4e3ab8109df7ead560b14,b420ddeada5300e22b8e3ad6c9ccd1549dc797c2,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager,org.apache.hadoop.yarn.server.resourcemanager.security.TestDelegationTokenRenewer.testTokenThreadTimeout,,YARN-9768
TD,YARN-1268,https://github.com/apache/hadoop,cae1ed9f6c438e20acdf385e95041f91ae349c71,54e54d45b3e515cc192ae5c05d137936a40f4665,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager,org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.TestFairScheduler.testContinuousScheduling,,YARN-1268
TD,CAMEL-15580,https://github.com/apache/camel,d76b079b8b3bff99b6ea822aa4d15c90e1fc221c,fc84b925a948a594335241a984ae2565c72f1c7f,components/camel-sjms,org.apache.camel.component.sjms.batch.SjmsBatchConsumerTest.testConsumption,,CAMEL-15580
TD,ZOOKEEPER-4327-testGlobalOutstandingRequestThrottlingWithRequestThrottlerDisabled,https://github.com/apache/zookeeper,06467dc8c20e6c7357c19904f6214bb406262ba2,1f5e4fe258707f9b82448a5f97c931c392d011ca,zookeeper-server,org.apache.zookeeper.server.RequestThrottlerTest.testGlobalOutstandingRequestThrottlingWithRequestThrottlerDisabled,,ZOOKEEPER-4327
TD,ZOOKEEPER-4327-testRequestThrottler,https://github.com/apache/zookeeper,06467dc8c20e6c7357c19904f6214bb406262ba2,1f5e4fe258707f9b82448a5f97c931c392d011ca,zookeeper-server,org.apache.zookeeper.server.RequestThrottlerTest.testRequestThrottler,,ZOOKEEPER-4327
Unclassified,ARIES-1580,https://github.com/apache/aries,9d5f3928c4691a98a6dcdf178017d86377255e63,cd6f3416746e3b7d9c1360f2e8e6d0f42778a049,blueprint/blueprint-itests,org.apache.aries.blueprint.itests.ParserServiceImportXSDsBetweenNamespaceHandlersTest.testXSDImports,,ARIES-1580
TD,APEXCORE-617-testEmitTuplesOutsideStreamingWindow,https://github.com/apache/apache/apex-core,a469dfb229c0d42c07048d95d070703331e2c429,25f1ac5c84a6bd86879e5f947d11edafe351b25a,engine,com.datatorrent.stram.engine.InputNodeTest.testEmitTuplesOutsideStreamingWindow,,APEXCORE-617
TD,APEXCORE-617-testHandleIdleTimeOutsideStreamingWindow,https://github.com/apache/apache/apex-core,a469dfb229c0d42c07048d95d070703331e2c429,25f1ac5c84a6bd86879e5f947d11edafe351b25a,engine,com.datatorrent.stram.engine.InputNodeTest.testHandleIdleTimeOutsideStreamingWindow,,APEXCORE-617
TD,CAMEL-12025-testTo,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testTo,,CAMEL-12025
TD,CAMEL-12025-testToWithExchange,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testToWithExchange,,CAMEL-12025
TD,CAMEL-12025-testToFunction,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testToFunction,,CAMEL-12025
TD,CAMEL-12025-testToFunctionWithExchange,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testToFunctionWithExchange,,CAMEL-12025
TD,CAMEL-12025-testFrom,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testFrom,,CAMEL-12025
TD,CAMEL-12025-testMultipleSubscriptionsWithTimer,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testMultipleSubscriptionsWithTimer,,CAMEL-12025
TD,CAMEL-12025-testFromStreamTimer,https://github.com/apache/camel,c501ba7e6d8c94ad3c26c78a4ee941fdd745717f,56b8c1a9f19effbe80dc0c6153b9e33280cee126,components/camel-reactor,org.apache.camel.component.reactor.engine.ReactorStreamsServiceTest.testFromStreamTimer,,CAMEL-12025
Unclassified,MAHOUT-1127,https://github.com/apache/mahout,f96f852a9c77b72c2a521fa89801b202df41624a,e527616c988f96e3cf60fac7c1229769a8f12935,core,org.apache.mahout.classifier.sgd.OnlineLogisticRegressionTest.iris,,MAHOUT-1127
TD,RATIS-1363,https://github.com/apache/ratis,52a52ed2c7f75cfbbfa81f7ce8fd18b01c54b66b,da012a625996f0eecde5c1dd094ca243cb5ca283,ratis-test,org.apache.ratis.grpc.TestInstallSnapshotNotificationWithGrpc.testInstallSnapshotNotificationCount,,RATIS-1363
Unclassified,RATIS-1621,https://github.com/apache/ratis,85ca5680c1548a9b0cefb0cc48859b296131a187,d674f988dfbe618aadc35e3b7e860e94670a15b1,ratis-server,org.apache.ratis.server.metrics.TestLeaderElectionMetrics.testOnLeaderElectionCompletion,,RATIS-1621
Unclassified,STORM-2924,https://github.com/apache/apache/storm,e6a3ac655db254d2e40a85eaeb932ea65cb6756d,6bd5760adb2b7e95dc2c8039d7b835b4b7592290,storm-server,org.apache.storm.TickTupleTest.testTickTupleWorksWithSystemBolt,,STORM-2924
Unclassified,BOOKKEEPER-784,https://github.com/apache/bookkeeper,c918051659f9f9231989531304a0a0a15f0f939e,4a2174a91fbd6b85fed640ef58f1c98fd28ee2d4,bookkeeper-server,org.apache.bookkeeper.client.BookKeeperCloseTest.testLedgerCheck,,BOOKKEEPER-784
Unclassified,HBASE-27193,https://github.com/apache/hbase,7cb7100de5351fd2dc3afb1a0193632cfa025f8c,2662607b716bab12d5f01de013ba3349cff0d78c,hbase-server,org.apache.hadoop.hbase.TestZooKeeper.testRegionAssignmentAfterMasterRecoveryDueToZKExpiry,,HBASE-27193
